Unnamed: 0,Efficacy,Coverage,Median Infected Passengers,Median Infected Crew,Percentage Averted,Total infections averted
2011,0.8163265306122448,0.2244897959183673,492.2679071953279,190.852957478068,0.5266529928587627,760.0505389002327
2012,0.8163265306122448,0.2448979591836734,457.0040675800602,174.1743886406718,0.5626448427000514,811.9929473528966
2013,0.8163265306122448,0.2653061224489795,423.3565328258373,158.5804166003344,0.5967651881230738,861.234454147457
2014,0.8163265306122448,0.2857142857142857,391.5363436207467,144.04164090536293,0.6288881672683551,907.593419047519
2015,0.8163265306122448,0.3061224489795918,361.4986714092964,130.5245263720742,0.6590680798115827,951.1482057922581
2016,0.8163265306122448,0.3265306122448979,333.19490830497375,117.9713284240088,0.6873786193297693,992.005166844646
2017,0.8163265306122448,0.3469387755102041,306.573302691001,106.31682312096876,0.7139008403370815,1030.2812777616589
2018,0.8163265306122448,0.3673469387755101,281.5792748398078,95.57622407767872,0.7386620203369041,1066.015904656142
2019,0.8163265306122448,0.3877551020408163,258.03325175195846,85.70498789534835,0.7618174537022208,1099.4331639263219
2020,0.8163265306122448,0.4081632653061224,235.9555314107052,76.65745148731669,0.7833847163795518,1130.5584206756066
2021,0.8163265306122448,0.4285714285714285,215.3547534928959,68.38741296797343,0.8033898359139755,1159.4292371127592
2022,0.8163265306122448,0.4489795918367346,196.16842791220287,60.84856171066785,0.8219082023199484,1186.1544139507578
2023,0.8163265306122448,0.4693877551020408,178.33344295497574,53.99490797518045,0.8390154140008199,1210.8430526434724
2024,0.8163265306122448,0.4897959183673469,162.27511123667733,47.78115630299601,0.8544481500814629,1233.1151360339552
2025,0.8163265306122448,0.5102040816326531,147.4230526793287,42.16299384060625,0.8686323425959829,1253.5853570536938
2026,0.8163265306122448,0.5306122448979591,133.65069990074815,37.09737705724507,0.8816855180644647,1272.4233266156355
2027,0.8163265306122448,0.5510204081632653,120.62349546618172,32.55617604638926,0.8938589892141277,1289.9917320610575
2028,0.8163265306122448,0.5714285714285714,108.50000772373124,28.49677450239478,0.9050724107428334,1306.1746213475026
